toclevel	level	line	number	index	fromtitle	byteoffset	anchor	revid	date	data-filter	time
1	2	History of the debate	1	1	Race_and_intelligence	2656	History_of_the_debate	780761713	2017-05-17	2017-05-17	01:27:24Z
1	2	History of the debate	1	1	Race_and_intelligence	2656	History_of_the_debate	779542641	2017-05-09	2017-05-09	14:46:28Z
1	2	History of the debate	1	1	Race_and_intelligence	2656	History_of_the_debate	779279505	2017-05-08	2017-05-08	01:18:54Z
1	2	History of the debate	1	1	Race_and_intelligence	2656	History_of_the_debate	778784882	2017-05-05	2017-05-05	06:26:47Z
1	2	History of the debate	1	1	Race_and_intelligence	3432	History_of_the_debate	778723063	2017-05-04	2017-05-04	21:39:28Z
1	2	History of the debate	1	1	Race_and_intelligence	3432	History_of_the_debate	778495050	2017-05-03	2017-05-03	13:29:51Z
1	2	History of the debate	1	1	Race_and_intelligence	3365	History_of_the_debate	778381479	2017-05-02	2017-05-02	19:44:38Z
1	2	History of the debate	1	1	Race_and_intelligence	2665	History_of_the_debate	777954879	2017-04-30	2017-04-30	08:56:22Z
1	2	History of the debate	1	1	Race_and_intelligence	2665	History_of_the_debate	776328894	2017-04-20	2017-04-20	09:54:15Z
1	2	History of the debate	1	1	Race_and_intelligence	2665	History_of_the_debate	776199707	2017-04-19	2017-04-19	15:35:08Z
1	2	History of the debate	1	1	Race_and_intelligence	2665	History_of_the_debate	775122040	2017-04-12	2017-04-12	20:12:54Z
1	2	History of the debate	1	1	Race_and_intelligence	2665	History_of_the_debate	773383463	2017-04-02	2017-04-02	02:18:37Z
1	2	History of the debate	1	1	Race_and_intelligence	2655	History_of_the_debate	772838292	2017-03-29	2017-03-29	17:15:10Z
1	2	History of the debate	1	1	Race_and_intelligence	2655	History_of_the_debate	772390963	2017-03-27	2017-03-27	00:32:45Z
1	2	History of the debate	1	1	Race_and_intelligence	2655	History_of_the_debate	771159469	2017-03-19	2017-03-19	22:18:41Z
1	2	History of the debate	1	1	Race_and_intelligence	2655	History_of_the_debate	768205669	2017-03-02	2017-03-02	12:32:08Z
1	2	History of the debate	1	1	Race_and_intelligence	2655	History_of_the_debate	767999105	2017-03-01	2017-03-01	04:54:31Z
1	2	History of the debate	1	1	Race_and_intelligence	2655	History_of_the_debate	767825865	2017-02-28	2017-02-28	04:52:54Z
1	2	History of the debate	1	1	Race_and_intelligence	2655	History_of_the_debate	765469160	2017-02-14	2017-02-14	15:52:49Z
1	2	History of the debate	1	1	Race_and_intelligence	2655	History_of_the_debate	763272213	2017-02-02	2017-02-02	07:56:36Z
1	2	History of the debate	1	1	Race_and_intelligence	2655	History_of_the_debate	763194654	2017-02-01	2017-02-01	20:53:28Z
1	2	History of the debate	1	1	Race_and_intelligence	2655	History_of_the_debate	760788046	2017-01-19	2017-01-19	02:02:15Z
1	2	History of the debate	1	1	Race_and_intelligence	2655	History_of_the_debate	758992739	2017-01-08	2017-01-08	18:05:43Z
1	2	History of the debate	1	1	Race_and_intelligence	2655	History_of_the_debate	756692879	2016-12-26	2016-12-26	05:46:12Z
1	2	History of the debate	1	1	Race_and_intelligence	2659	History_of_the_debate	751945686	2016-11-28	2016-11-28	17:52:51Z
1	2	History of the debate	1	1	Race_and_intelligence	2659	History_of_the_debate	748437248	2016-11-08	2016-11-08	05:15:01Z
1	2	History of the debate	1	1	Race_and_intelligence	2659	History_of_the_debate	748377056	2016-11-07	2016-11-07	22:27:54Z
1	2	History of the debate	1	1	Race_and_intelligence	2659	History_of_the_debate	745011166	2016-10-18	2016-10-18	19:58:21Z
1	2	History of the debate	1	1	Race_and_intelligence	2659	History_of_the_debate	742161667	2016-10-02	2016-10-02	01:56:37Z
